seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
3,False,100,False,False,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.04402,0.303625061235879,0.0899933174702244,5.2765865,7.5216236,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,506.468452453613,502.412606716156,0.830874919891357,1.89829683303833,tsit5 avg
0,False,100,False,False,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.41509,0.306203219870291,0.0953782192942529,4.542394,13.825405,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,484.273052453995,480.054260015488,0.81219744682312,1.88547253608704,543.329001446565
1,False,100,False,False,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.918236,0.291938166945815,0.0915977298433264,2.8219056,9.019184,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,609.504903793335,605.153919458389,0.775833129882813,1.8834593296051,bosh5 avg
2,False,100,False,False,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.16981,0.311574269128306,0.0952833048636127,4.5881805,18.60972,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,517.60858297348,513.064838647842,0.806030511856079,1.9026939868927,532.619418599389
3,False,100,False,False,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.2956,0.301743687110154,0.0933715616387421,2.5487764,7.749563,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,622.57648730278,617.577678203583,0.85788106918335,1.96101593971252,
0,False,100,False,False,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.666664,0.362110636396073,0.0990890163912302,6.1470094,27.673054,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,449.072602033615,444.050688028336,0.766856670379639,1.9926393032074,
1,False,100,False,False,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.41509,0.349809121525586,0.098432391968993,5.582533,15.362585,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,588.184094667435,582.925894975662,0.825572490692139,1.98169636726379,
2,False,100,False,False,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.79245,0.358691754191869,0.0998954738056684,5.9370275,22.99044,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,530.645838975906,525.183275699616,0.886869668960571,1.95732617378235,
3,False,100,False,False,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.41509,0.342969467614163,0.0982712053041251,5.62624,17.536396,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,571.652338027954,565.989912033081,0.868890285491943,1.99068117141724,
0,False,100,False,False,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.79245,0.294622553542577,0.0912429950991912,1.6866237,11.844158,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,407.42000579834,395.54035949707,1.4304621219635,3.36146855354309,"Pcoeff=0.4, icoeff=1.0, dcoeff=0.0"
